,Customer ID,Customer Name,Email,Phone No.,Company,Industry,Location,Annual Revenue,Interest,Lead Score,Status
0,dca3d335-182f-4650-8a61-21efb867d545,Janya Tak,yatin43@example.org,1865711225,Shah-Rattan,Finance,Mumbai,519854.21,No,15,Cold
1,6ece483c-a8be-4748-b2cb-f38c7b945c1e,Jeremiah Bhavsar,mmitra@example.net,8475371381,Trivedi PLC,Healthcare,Delhi,321783.68,Yes,20,Cold
2,abc6661e-b2ff-4f56-8e40-88f32d22ce1f,Yug Om,janyaroy@example.com,07215767875,"Palan, Deo and Naidu",Finance,Chennai,688590.54,No,15,Cold
3,b4067b48-c674-4d44-b7c6-ae8b252799bc,Daniel Keer,amrutasura@example.org,00080832451,Kant Group,Manufacturing,Mumbai,701410.89,No,-5,Cold
4,4c3a70d2-bf90-4cdf-8254-51ce741b8168,Lopa Gandhi,devanshpathak@example.net,02983435323,Malhotra-Dora,Tech,Bangalore,133984.72,Yes,40,Warm
5,27fa2961-7067-4c7f-867f-971df7e015b4,Farhan Toor,zray@example.com,03974629788,Parmar-Tripathi,Tech,Delhi,277902.03,No,10,Cold
6,6a1280c5-626c-489a-9f4d-8ba986c6e760,Dakshesh Jain,mshukla@example.com,8088261593,Ranganathan-Bajaj,Finance,Hyderabad,480732.94,Yes,30,Cold
7,d9132aef-2650-452f-b628-3bf7762996bd,Sathvik Nagy,bakhshigole@example.org,03125830928,"Ram, Mody and Chahal",Manufacturing,Chennai,217352.4,Yes,10,Cold
8,9a1176db-15ce-4641-b0ca-30c7697d7441,Ishaan Nadkarni,krishnakashish@example.com,6439882484,Pal Group,Manufacturing,Hyderabad,802636.17,No,-5,Cold
9,3f9b3c0b-97c7-4e85-a338-240bc378f224,Bhavani Murty,gayathri05@example.org,5997969872,Grewal-Sunder,Manufacturing,Chennai,330946.96,No,-20,Cold
10,4bd4481e-6c23-4f9e-8444-b5fb9e6eefcf,Oscar Kari,nidhiraghavan@example.org,+911667613233,"Ramaswamy, Kashyap and Rout",Retail,Guwahati,122839.29,No,-20,Cold
11,7789028b-769c-4634-b05c-7d6f9f116dd6,Suhani Doshi,ryanbal@example.net,+914538742550,"Chaudhary, Puri and Bawa",Finance,Guwahati,450557.78,No,0,Cold
12,c75f83e9-1c27-4fed-9b6b-2be3ce8c7aef,Dakshesh Gaba,rishi91@example.org,08455921231,"Ray, Sani and Khosla",Healthcare,Guwahati,275948.08,Yes,10,Cold
13,f6f12d04-7fbc-47df-8289-1767eb88caf0,Isaiah Ramaswamy,ishani27@example.com,5632795720,Pal-Khalsa,Manufacturing,Guwahati,858472.9,Yes,25,Cold
14,869756ca-eabc-47ba-89a2-d3961722fafe,Raksha Thaman,ubera@example.net,8147968713,Dhar LLC,Tech,Mumbai,84531.3,Yes,30,Cold
15,b290b361-5773-4621-ab82-28f2494ad9b4,Tara Acharya,kashyapamara@example.com,+919566875810,Kala Inc,Retail,Guwahati,810430.3,Yes,25,Cold
16,a6f34d07-b88b-4e83-bea0-201c867b6c1d,Maya Lanka,tanmayidora@example.org,7379770805,"Chauhan, Shah and Dubey",Healthcare,Chennai,146943.25,Yes,10,Cold
17,cdf0c5a7-d428-449a-b8cb-d151895337a9,Vincent Dyal,isaiah76@example.com,2290625283,Muni-Wali,Finance,Guwahati,992067.49,No,15,Cold
18,0747aa4d-945f-4663-9eb9-62ac310568c8,Sudiksha Tripathi,patilvarsha@example.org,03003589886,Mangal LLC,Tech,Guwahati,241413.64,Yes,30,Cold
19,6d124018-6b0e-4760-a7b9-cd005effd8ae,Raghav Das,daniekaraj@example.com,9881513147,Rama LLC,Tech,Hyderabad,341920.8,No,0,Cold
20,9bb5d042-8d66-441c-81bd-df1c23c744ee,Gaurangi Rana,jtripathi@example.net,05437177917,Khalsa-Gola,Finance,Bangalore,476119.39,Yes,40,Warm
21,e1f58546-096f-4dec-81b2-fe16f77372f0,Jagdish Vala,indrajitmand@example.net,+917567359859,"Randhawa, Kar and Vasa",Tech,Guwahati,110607.27,Yes,30,Cold
22,20e896a5-9312-4989-9507-ed6951fbab70,Rushil Khanna,gangulywarhi@example.org,03005894781,Rajan LLC,Tech,Delhi,759782.91,Yes,55,Hot
23,4a36d10d-51b3-4726-957a-6783173f34e8,Warhi Bains,radhatailor@example.com,+911058281709,Prabhu Group,Finance,Delhi,163125.46,Yes,40,Warm
24,f88030e4-22fa-4054-844b-3970ac59d894,Pahal Dayal,ugoswami@example.net,+910389890876,Sani PLC,Healthcare,Bangalore,440271.32,Yes,20,Cold
25,d5a28a3b-ce28-47f6-9a42-ca4e0bbd183c,Chatresh Iyer,anmol92@example.net,04204624941,"Pai, Muni and Subramanian",Retail,Delhi,495423.11,Yes,20,Cold
26,badc6929-b366-412d-9308-784e8a3d38d3,Onkar Kanda,baljiwan29@example.com,07636661364,Soni LLC,Manufacturing,Delhi,211433.84,No,-10,Cold
27,1426bbd1-963b-423b-83b6-f7ba9f42b9fb,Baghyawati Nanda,aayush68@example.net,3706435456,Brar-Gupta,Tech,Hyderabad,854947.46,Yes,45,Warm
28,fb342dde-8fe6-411f-93c1-5b9e36a2034c,Bahadurjit Sampath,girik62@example.com,4538125874,"Contractor, Hari and Nagar",Retail,Hyderabad,776307.75,No,-5,Cold
29,34cd0415-ced7-48dd-8265-56de842e33e1,Shaurya Amble,vansha49@example.com,00477308071,"Dada, Badami and Bora",Finance,Bangalore,226504.84,No,10,Cold
30,c6e8410c-8603-4a0a-80af-6371066c4a13,Vanya Kumer,anay10@example.org,06635762081,Ratti Group,Tech,Guwahati,245404.65,Yes,30,Cold
31,8d91b267-0e8c-4df0-a587-ed4781931466,Dayamai Chakrabarti,anvichhabra@example.com,2124999127,"Lata, Ravel and Chana",Healthcare,Hyderabad,435062.33,No,-20,Cold
32,8d62187a-1339-4f29-b6b9-437c71fd866e,Qasim Jhaveri,chaaya87@example.org,1807469621,"Bhattacharyya, Date and Pai",Manufacturing,Guwahati,849012.0,Yes,25,Cold
33,e71009fd-4115-467e-8c88-637de27e4d0b,Madhavi Sahni,yatanmaster@example.net,00762020747,"Bawa, Cheema and Palla",Manufacturing,Delhi,901002.44,Yes,35,Warm
34,cf39bb93-f63e-4d4b-b397-08d14c01174a,Yug De,jayaramannitara@example.com,0844650459,Varghese PLC,Healthcare,Bangalore,189103.44,Yes,20,Cold
35,773c6841-725d-4297-845a-1537905147c9,Aarini Som,oupadhyay@example.com,+910697069541,"Sankaran, Bassi and Grewal",Retail,Chennai,302918.11,Yes,10,Cold
36,af2fcda6-627d-4ed7-bc04-1673b0c6883e,Hemangini Majumdar,hemasood@example.com,01357520969,Mannan and Sons,Healthcare,Guwahati,605687.93,No,-5,Cold
37,622087aa-d587-4109-9387-df7bdf64cbb4,Bimala Ramakrishnan,yahvi52@example.com,0547665304,Deo-Wali,Retail,Bangalore,556960.74,No,5,Cold
38,86d8832d-727c-4895-82ad-510fc731f026,Oeshi Palan,ekaja40@example.com,5064560586,Keer-Krishnamurthy,Retail,Mumbai,708613.89,Yes,25,Cold
39,bf0da628-7aec-4adb-87e0-a83b8c21e7f2,Agastya Dani,lohit17@example.com,1009470129,Dara-Sachdev,Finance,Guwahati,844364.44,No,15,Cold
40,44c1f87f-972d-4636-90db-1c7a35e58fb5,Ekanta Garg,osheth@example.com,6174855093,Malhotra-Chana,Healthcare,Bangalore,311566.0,No,-10,Cold
41,48646672-92c8-42ee-bcca-3c8574144987,Aayush Koshy,galariya@example.org,01895678796,Chaudhari-Srinivas,Tech,Delhi,782511.27,Yes,55,Hot
42,e904afd3-1b77-4e35-8f38-ed7a8e8c301b,Lopa Bhatia,yachana55@example.net,06435817530,Barad-Singh,Manufacturing,Hyderabad,94612.6,Yes,10,Cold
43,a1ddd755-2dd3-4ec8-b3b7-06178ae1a570,Ekani Jaggi,nisha71@example.org,+912459782375,Menon Inc,Healthcare,Guwahati,329305.34,No,-20,Cold
44,b4adda9a-17cd-4751-bd3a-c81a87588aa6,Aadhya Chana,guhawilliam@example.org,07797397150,Apte Group,Healthcare,Delhi,482512.14,Yes,20,Cold
45,81dcf987-ae57-4ff9-bfbb-0faa96f25ec4,Chatresh Kaul,abha07@example.net,01552083518,Pal Inc,Retail,Hyderabad,86365.81,Yes,10,Cold
46,3b704b24-6403-4ac1-bbc9-ebf2259dbda9,Rishi Dasgupta,qnori@example.com,6763265645,Mukherjee Group,Tech,Mumbai,341626.18,Yes,30,Cold
47,7001d98f-61e8-4a3c-981c-4de2b02c1809,Mitali Wadhwa,jagate@example.com,03171104182,"Devi, Koshy and Sami",Retail,Delhi,208061.63,No,-10,Cold
48,0592137f-ba3f-4b77-955e-daa21f2c4cae,Unni Arya,wbalan@example.net,05853164112,Mani LLC,Healthcare,Chennai,313357.23,Yes,10,Cold
49,acf428ba-5c69-4311-805b-effdcc98f786,Unni Sankar,urvashigala@example.com,04779843472,Shah-Sodhi,Retail,Mumbai,578353.2,No,-5,Cold
50,8fe1d526-8606-43fe-aae7-f3e341aea22f,Xalak Lad,karanaveen@example.net,03238856036,"Jain, Purohit and Sarin",Manufacturing,Mumbai,547508.43,No,-5,Cold
51,8c1bea4b-ab57-42c1-8344-05728fe18ed9,Jeremiah Mall,fbadami@example.net,00591070186,Mitra-Ganesan,Tech,Delhi,169008.72,Yes,40,Warm
52,844a0456-a8ee-4b72-96cb-d56798b021cc,Wakeeta Sharma,barkha94@example.org,08967855869,Bawa Group,Finance,Delhi,848204.48,No,25,Cold
53,1b8d0f0a-a6e4-459e-a40f-13f9ba935f5b,Nandini Bandi,mbarad@example.net,00437039899,Wadhwa and Sons,Healthcare,Chennai,958334.41,No,-5,Cold
54,713e8344-3ce9-4d00-9059-9457bd47f860,Garima Chad,fparmar@example.com,7287244352,"Thakkar, Karnik and Som",Retail,Delhi,911230.49,No,5,Cold
55,c6c493a1-8ac6-4926-a09d-8c9d61f6c734,Madhav Krishna,bratti@example.net,+912131597546,"Narula, Comar and Parsa",Finance,Guwahati,741195.42,No,15,Cold
56,562033e4-ff6f-46b1-adf0-55a75d6dce54,Tarak Trivedi,ekanshbasu@example.org,06618972907,Nayar and Sons,Manufacturing,Guwahati,400243.94,Yes,10,Cold
57,e2f938b8-c8d1-4789-9f3c-16ff3dc2f829,Zayyan Pingle,gaurangikonda@example.net,0982240766,Parsa-Pal,Retail,Chennai,654754.29,Yes,25,Cold
58,ca25ed5a-4b75-4bba-a78f-1c0f4da3e549,Chanakya Subramaniam,iyernandini@example.org,+919353751276,"Balakrishnan, Shankar and Vasa",Finance,Chennai,99807.76,No,0,Cold
59,7dee3592-3316-43bd-883a-e5b4bffdf95e,Wyatt Anne,simon35@example.net,1434209813,Iyengar-Kumer,Finance,Bangalore,911499.69,No,25,Cold
60,cb030b9b-e11a-4f51-9e5a-29b312390a52,Balveer Kumer,abhimanyujain@example.net,+918807166720,Sekhon LLC,Tech,Chennai,532906.07,Yes,45,Warm
61,c767ab7d-06b4-4b3f-b64a-8298c17f73be,Deepa Khurana,shettymeghana@example.com,5337462250,Mohanty and Sons,Retail,Delhi,965215.68,Yes,35,Warm
62,62f1e56f-bc3d-4b06-afe2-1a1de4b3064d,Wriddhish Nadig,gkeer@example.com,04237668925,Narasimhan-Yadav,Tech,Delhi,224843.59,No,10,Cold
63,e8bbd13f-7d72-4753-bc28-ca8b473f6f87,Urvi Batta,avi90@example.net,01439462868,Dubey Inc,Finance,Chennai,668566.47,Yes,45,Warm
64,b49eee69-0a67-4ac7-91f5-7cccc2feb3fb,Abdul Narasimhan,raghav59@example.org,4551914828,"Shanker, Raj and Raj",Retail,Chennai,282453.11,Yes,10,Cold
65,46dea0f2-d314-45da-a3c7-f547fa354ec9,Ranveer Devan,anvikala@example.org,06819633705,Walia-Saraf,Manufacturing,Chennai,522485.28,No,-5,Cold
66,c7e1416c-896d-4ee2-9a0f-8d6c797f2f14,Jai Saha,rtank@example.com,04140846676,Sankaran-Datta,Retail,Bangalore,915733.23,Yes,35,Warm
67,726bd769-a150-4186-b0c0-a2323f6c11d1,Samesh Verma,baraljanuja@example.com,+914372212285,Badami Group,Manufacturing,Bangalore,892513.17,No,5,Cold
68,0e5a7798-4b65-45ee-814b-8406887ae682,Falan Muni,wahab89@example.org,+913633615105,Chana-Malhotra,Tech,Hyderabad,142818.76,Yes,30,Cold
69,bdcbe2f9-177f-436e-b378-88d294eae8cc,Benjamin Sen,chauhankashish@example.org,9711946295,"Lad, Sarma and Bhavsar",Finance,Chennai,690636.99,Yes,45,Warm
70,c83959b3-b30d-4387-80f3-7a0d3f5ce5bc,Theodore Purohit,odikasharaf@example.net,+915146471819,Gill-Grewal,Retail,Hyderabad,82995.67,No,-20,Cold
71,d6ebe8be-76e7-4084-8b07-d02cd3029b93,Suhani Ahuja,srinivasantristan@example.net,+916242085966,"Sura, Mani and Prakash",Tech,Bangalore,382379.81,No,10,Cold
72,20561bba-258f-4238-b00e-4b29bbe06556,Vaishnavi Arora,nidrakumar@example.com,+916073804722,Goswami and Sons,Retail,Delhi,656776.51,No,5,Cold
73,eb04c43a-5cc6-4d98-8909-d53a156e6fea,Yuvraj Brahmbhatt,balvansoni@example.net,+910563627653,Varughese-Prasad,Finance,Delhi,738713.02,No,25,Cold
74,e9be965f-fb5b-48ca-a00e-4bfa7ffa41f4,Ishaan Muni,zsrinivas@example.com,6639799254,"Basu, Vala and Walla",Retail,Chennai,362956.03,Yes,10,Cold
75,6c7a5222-edb7-4af8-986f-a741e24a1c88,Dhruv Raman,keyasule@example.net,+918441180642,"Raja, Goda and Mand",Finance,Bangalore,635792.95,Yes,55,Hot
76,7dcb6b7e-efa5-40bb-853f-3fc29b675185,Chandran Parmer,zsani@example.org,02352850648,"Mukhopadhyay, Mani and Khosla",Healthcare,Chennai,861112.38,No,-5,Cold
77,17bf3366-5571-4f55-be8c-0fe41890ffab,Lohit Sathe,rajeshri49@example.org,04828900449,"Roy, Verma and Banerjee",Manufacturing,Hyderabad,556940.65,No,-5,Cold
78,ae780c36-e331-4dce-a132-259fd2abd301,Libni Dey,diya12@example.org,8169635762,Uppal-Wadhwa,Retail,Chennai,966921.03,No,-5,Cold
79,5519690c-17e8-4867-9400-a0cee33cf1d8,Girik Chakrabarti,manan84@example.net,6898626652,"Kumar, Grewal and Jaggi",Manufacturing,Bangalore,461072.33,No,-10,Cold
80,6a69e561-6335-4414-a3bd-abc057631732,Tripti Tata,kamalabatta@example.net,04460139737,Hayer-Patil,Manufacturing,Guwahati,399207.36,Yes,10,Cold
81,ae9cfbde-dae6-4a53-9c34-3165fc5e0a51,Gaurika Bhatt,shivanshdasgupta@example.org,3125934209,"Mann, Mander and Cherian",Manufacturing,Delhi,831153.65,No,5,Cold
82,8533e24e-0980-4767-9a6b-5efa6ea65920,Pahal Bhalla,osha47@example.org,2304315569,Sandhu-Mall,Retail,Mumbai,865725.26,No,-5,Cold
83,04aa84e2-2106-4576-a7f4-b218c6a7c1f5,Sai Sachar,venkateshomkaar@example.org,9046298434,Garde Inc,Tech,Delhi,928568.21,Yes,55,Hot
84,ad3bb41c-8899-43fe-a113-43fbca9ab6e8,Suhani Sem,pathakjhalak@example.org,4842084674,"Lata, Kalla and Mitra",Finance,Hyderabad,373195.43,No,0,Cold
85,b9ff1f93-deb2-42ec-9932-f34819eb2988,Sudiksha Dara,advikakata@example.net,09509756870,Varty LLC,Healthcare,Mumbai,418282.2,Yes,10,Cold
86,7be00752-6e89-4de3-b592-8bf3a02bd6a1,Yahvi Purohit,dakshesh19@example.org,06713729826,Shenoy Ltd,Finance,Mumbai,237494.75,No,0,Cold
87,d48440f5-30d3-47b9-9635-484214bf67a9,Vivaan Sahni,memonyug@example.net,4607706144,"Khalsa, Pingle and Bala",Manufacturing,Chennai,744927.87,No,-5,Cold
88,c713aa01-9788-4305-8fa6-37f773d2e741,Jagrati Deol,sameshrandhawa@example.com,04565011812,Kalla and Sons,Retail,Chennai,361568.97,No,-20,Cold
89,ff701b88-4b14-4d49-8a69-b13e13faa0a3,Thomas Seth,riya92@example.com,03536112653,Bumb-Chawla,Manufacturing,Guwahati,900766.38,No,-5,Cold
90,8471a568-5e63-467f-a450-ff3d8c404fcd,Eshana Ram,knagi@example.net,00619894427,"Roy, Warrior and Dave",Healthcare,Chennai,127708.82,Yes,10,Cold
91,9eaab34c-bd34-4163-9580-5f8e7cc76ba7,Chatresh Narain,yahvimammen@example.net,+918473793593,"Mangal, Chawla and Ravel",Healthcare,Chennai,107909.44,No,-20,Cold
92,e5ff9ba5-ae9f-4e96-89cf-616d9f3daed5,Ucchal Sankaran,ahluwaliajason@example.com,3402494045,Aggarwal-Kant,Manufacturing,Bangalore,655907.42,No,5,Cold
